simulatorType,day,roomId,shortage
dynamic,26,66,3
dynamic,26,67,0
dynamic,26,68,0
dynamic,26,69,1
dynamic,26,70,2
dynamic,26,71,0
dynamic,26,72,1
dynamic,26,73,0
dynamic,26,74,2
dynamic,26,75,0
dynamic,26,76,0
dynamic,26,77,0
dynamic,26,78,0
dynamic,26,79,2
dynamic,26,80,0
dynamic,26,81,0
dynamic,26,82,0
dynamic,26,83,0
dynamic,26,84,0
dynamic,26,85,0
dynamic,26,86,2
dynamic,26,87,0
dynamic,26,88,0
dynamic,26,89,0
dynamic,26,90,0
dynamic,26,91,0
dynamic,26,92,0
dynamic,26,93,0
dynamic,26,94,0
dynamic,26,95,0
dynamic,26,96,0
dynamic,26,97,0
dynamic,26,98,0
dynamic,26,99,3
static,27,0,0
static,27,1,0
static,27,2,0
static,27,3,0
static,27,4,0
static,27,5,0
static,27,6,0
static,27,7,0
static,27,8,0
static,27,9,0
static,27,10,0
static,27,11,0
static,27,12,0
static,27,13,0
static,27,14,0
static,27,15,0
static,27,16,0
static,27,17,0
static,27,18,0
static,27,19,1
static,27,20,0
static,27,21,0
static,27,22,0
static,27,23,0
static,27,24,0
static,27,25,0
static,27,26,0
static,27,27,0
static,27,28,0
static,27,29,0
static,27,30,0
static,27,31,0
static,27,32,0
static,27,33,0
static,27,34,0
static,27,35,0
static,27,36,0
static,27,37,0
static,27,38,0
static,27,39,0
static,27,40,0
static,27,41,0
static,27,42,3
static,27,43,0
static,27,44,3
static,27,45,0
static,27,46,0
static,27,47,0
static,27,48,0
static,27,49,0
static,27,50,2
static,27,51,1
static,27,52,0
static,27,53,0
static,27,54,7
static,27,55,0
static,27,56,0
static,27,57,0
static,27,58,0
static,27,59,0
static,27,60,1
static,27,61,0
static,27,62,0
static,27,63,0
static,27,64,2
static,27,65,0
static,27,66,4
static,27,67,0
static,27,68,0
static,27,69,9
static,27,70,0
static,27,71,3
static,27,72,1
static,27,73,0
static,27,74,6
static,27,75,1
static,27,76,0
static,27,77,0
static,27,78,0
static,27,79,1
static,27,80,0
static,27,81,0
static,27,82,0
static,27,83,3
static,27,84,1
static,27,85,0
static,27,86,5
static,27,87,0
static,27,88,0
static,27,89,2
static,27,90,0
static,27,91,1
static,27,92,0
static,27,93,4
static,27,94,0
static,27,95,0
static,27,96,0
static,27,97,0
static,27,98,0
static,27,99,5
dynamic,27,0,0
dynamic,27,1,0
dynamic,27,2,0
dynamic,27,3,0
dynamic,27,4,0
dynamic,27,5,0
dynamic,27,6,0
dynamic,27,7,0
dynamic,27,8,0
dynamic,27,9,0
dynamic,27,10,0
dynamic,27,11,0
dynamic,27,12,1
dynamic,27,13,0
dynamic,27,14,0
dynamic,27,15,0
dynamic,27,16,0
dynamic,27,17,0
dynamic,27,18,0
dynamic,27,19,0
dynamic,27,20,0
dynamic,27,21,0
dynamic,27,22,0
dynamic,27,23,0
dynamic,27,24,0
dynamic,27,25,0
dynamic,27,26,0
dynamic,27,27,0
dynamic,27,28,0
dynamic,27,29,0
dynamic,27,30,0
dynamic,27,31,0
dynamic,27,32,0
dynamic,27,33,0
dynamic,27,34,0
dynamic,27,35,0
dynamic,27,36,0
dynamic,27,37,0
dynamic,27,38,0
