Day:0
58, (15,13)
71, (7,14)
80, (4,19)
82, (3,17)
89, (3,9)
94, (5,10)

Day:78
21, (12,5)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
63, (10,16)
67, (6,9)
69, (6,8)
70, (7,11)
71, (7,14)
72, (11,14)
73, (7,17)
74, (12,19)
76, (10,9)
84, (3,11)

Day:79
4, (4,1)
40, (15,11)
44, (16,12)
53, (16,15)
55, (18,17)
62, (12,13)
70, (7,11)
71, (7,14)
73, (7,17)
80, (4,19)
82, (3,17)
84, (3,11)
88, (4,17)
89, (3,9)
90, (2,14)
91, (2,15)
93, (1,17)
94, (5,10)
95, (1,13)
99, (5,8)

Day:80
2, (5,2)
3, (0,2)
4, (4,1)
8, (5,7)
11, (5,7)
12, (4,4)
13, (0,4)
14, (1,1)
15, (8,1)
19, (0,0)
30, (18,4)
36, (14,7)
37, (19,5)
49, (14,12)
71, (7,14)
80, (4,19)
82, (3,17)
84, (3,11)
89, (3,9)
94, (5,10)

Day:81
4, (4,1)
14, (1,1)
15, (8,1)
21, (12,5)
22, (19,0)
23, (15,1)
24, (15,1)
25, (13,2)
28, (11,1)
29, (17,7)
33, (13,7)
35, (14,1)
36, (14,7)
37, (19,5)
53, (16,15)
55, (18,17)
70, (7,11)
84, (3,11)
89, (3,9)
94, (5,10)

Day:82
4, (4,1)
15, (8,1)
21, (12,5)
30, (18,4)
36, (14,7)
37, (19,5)
40, (15,11)
41, (17,17)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
58, (15,13)
62, (12,13)
69, (6,8)
71, (7,14)
80, (4,19)
82, (3,17)
91, (2,15)

Day:83
8, (5,7)
36, (14,7)
37, (19,5)
40, (15,11)
44, (16,12)
46, (16,13)
49, (14,12)
53, (16,15)
55, (18,17)
62, (12,13)
63, (10,16)
70, (7,11)
71, (7,14)
72, (11,14)
73, (7,17)
74, (12,19)
76, (10,9)
79, (11,19)
84, (3,11)
89, (3,9)

Day:84
4, (4,1)
40, (15,11)
41, (17,17)
