simulatorType,last_rep_day,day,roomId,roomType,shortage
dynamic,0,2,64,0,0
dynamic,0,2,65,1,0
dynamic,0,2,66,0,1
dynamic,0,2,67,1,0
dynamic,0,2,68,1,0
dynamic,0,2,69,2,0
dynamic,0,2,70,0,0
dynamic,0,2,71,1,0
dynamic,0,2,72,0,1
dynamic,0,2,73,1,0
dynamic,0,2,74,1,0
dynamic,0,2,75,0,0
dynamic,0,2,76,1,0
dynamic,0,2,77,1,0
dynamic,0,2,78,2,0
dynamic,0,2,79,1,0
dynamic,0,2,80,1,2
dynamic,0,2,81,0,2
dynamic,0,2,82,1,0
dynamic,0,2,83,0,0
dynamic,0,2,84,1,1
dynamic,0,2,85,2,0
dynamic,0,2,86,0,3
dynamic,0,2,87,1,0
dynamic,0,2,88,0,0
dynamic,0,2,89,1,0
dynamic,0,2,90,0,0
dynamic,0,2,91,2,0
dynamic,0,2,92,0,0
dynamic,0,2,93,0,0
dynamic,0,2,94,2,0
dynamic,0,2,95,2,0
dynamic,0,2,96,0,1
dynamic,0,2,97,0,1
dynamic,0,2,98,0,3
dynamic,0,2,99,0,0
static,0,3,0,0,4
static,0,3,1,0,4
static,0,3,2,1,0
static,0,3,3,1,0
static,0,3,4,0,0
static,0,3,5,2,0
static,0,3,6,0,1
static,0,3,7,0,4
static,0,3,8,0,0
static,0,3,9,1,0
static,0,3,10,1,0
static,0,3,11,2,0
static,0,3,12,2,0
static,0,3,13,1,0
static,0,3,14,1,0
static,0,3,15,0,1
static,0,3,16,1,0
static,0,3,17,0,1
static,0,3,18,0,2
static,0,3,19,0,0
static,1,3,20,2,0
static,1,3,21,0,0
static,1,3,22,0,0
static,1,3,23,1,0
static,1,3,24,0,0
static,1,3,25,2,0
static,1,3,26,0,0
static,1,3,27,2,0
static,1,3,28,1,0
static,1,3,29,2,0
static,1,3,30,2,0
static,1,3,31,1,0
static,1,3,32,0,0
static,1,3,33,1,0
static,1,3,34,0,1
static,1,3,35,0,1
static,1,3,36,0,3
static,1,3,37,0,0
static,1,3,38,1,0
static,1,3,39,2,0
static,2,3,40,0,0
static,2,3,41,0,0
static,2,3,42,0,0
static,2,3,43,1,0
static,2,3,44,2,0
static,2,3,45,0,0
static,2,3,46,0,0
static,2,3,47,0,0
static,2,3,48,0,0
static,2,3,49,0,0
static,2,3,50,2,0
static,2,3,51,1,0
static,2,3,52,1,0
static,2,3,53,0,0
static,2,3,54,1,0
static,2,3,55,1,0
static,2,3,56,2,0
static,2,3,57,2,0
static,2,3,58,1,0
static,2,3,59,1,0
static,0,3,60,2,0
static,0,3,61,1,0
static,0,3,62,1,0
static,0,3,63,0,0
static,0,3,64,0,2
static,0,3,65,1,0
static,0,3,66,0,3
static,0,3,67,1,0
static,0,3,68,1,0
static,0,3,69,2,0
static,0,3,70,0,1
static,0,3,71,1,0
static,0,3,72,0,2
static,0,3,73,1,0
static,0,3,74,1,0
static,0,3,75,0,1
static,0,3,76,1,0
static,0,3,77,1,0
static,0,3,78,2,0
static,0,3,79,1,0
static,0,3,80,1,0
static,0,3,81,0,6
static,0,3,82,1,4
static,0,3,83,0,1
static,0,3,84,1,2
static,0,3,85,2,0
static,0,3,86,0,2
static,0,3,87,1,0
static,0,3,88,0,1
static,0,3,89,1,0
static,0,3,90,0,2
static,0,3,91,2,0
static,0,3,92,0,0
static,0,3,93,0,0
static,0,3,94,2,0
static,0,3,95,2,0
static,0,3,96,0,3
static,0,3,97,0,1
static,0,3,98,0,1
static,0,3,99,0,4
dynamic,0,3,0,0,1
dynamic,0,3,1,0,3
dynamic,0,3,2,1,0
dynamic,0,3,3,1,0
dynamic,0,3,4,0,0
dynamic,0,3,5,2,0
dynamic,0,3,6,0,5
dynamic,0,3,7,0,1
dynamic,0,3,8,0,1
dynamic,0,3,9,1,0
dynamic,0,3,10,1,1
dynamic,0,3,11,2,0
dynamic,0,3,12,2,0
dynamic,0,3,13,1,0
dynamic,0,3,14,1,0
dynamic,0,3,15,0,0
dynamic,0,3,16,1,0
dynamic,0,3,17,0,0
dynamic,0,3,18,0,2
dynamic,0,3,19,0,1
dynamic,1,3,20,2,0
dynamic,1,3,21,0,0
dynamic,1,3,22,0,0
dynamic,1,3,23,1,0
dynamic,1,3,24,0,0
dynamic,1,3,25,2,0
dynamic,1,3,26,0,0
dynamic,1,3,27,2,0
dynamic,1,3,28,1,0
dynamic,1,3,29,2,0
dynamic,1,3,30,2,0
dynamic,1,3,31,1,0
dynamic,1,3,32,0,0
dynamic,1,3,33,1,0
dynamic,1,3,34,0,1
dynamic,1,3,35,0,0
dynamic,1,3,36,0,0
dynamic,1,3,37,0,0
dynamic,1,3,38,1,0
dynamic,1,3,39,2,0
dynamic,2,3,40,0,0
dynamic,2,3,41,0,0
dynamic,2,3,42,0,0
dynamic,2,3,43,1,0
dynamic,2,3,44,2,0
dynamic,2,3,45,0,0
dynamic,2,3,46,0,0
dynamic,2,3,47,0,0
dynamic,2,3,48,0,0
dynamic,2,3,49,0,0
dynamic,2,3,50,2,0
dynamic,2,3,51,1,0
dynamic,2,3,52,1,0
dynamic,2,3,53,0,3
dynamic,2,3,54,1,0
dynamic,2,3,55,1,0
dynamic,2,3,56,2,0
dynamic,2,3,57,2,0
dynamic,2,3,58,1,0
dynamic,2,3,59,1,0
dynamic,0,3,60,2,0
dynamic,0,3,61,1,0
dynamic,0,3,62,1,0
dynamic,0,3,63,0,0
dynamic,0,3,64,0,6
dynamic,0,3,65,1,0
dynamic,0,3,66,0,1
dynamic,0,3,67,1,0
dynamic,0,3,68,1,0
dynamic,0,3,69,2,0
dynamic,0,3,70,0,2
dynamic,0,3,71,1,0
dynamic,0,3,72,0,0
dynamic,0,3,73,1,0
dynamic,0,3,74,1,0
dynamic,0,3,75,0,0
dynamic,0,3,76,1,0
dynamic,0,3,77,1,0
dynamic,0,3,78,2,0
dynamic,0,3,79,1,0
dynamic,0,3,80,1,3
dynamic,0,3,81,0,8
dynamic,0,3,82,1,0
dynamic,0,3,83,0,2
dynamic,0,3,84,1,2
dynamic,0,3,85,2,0
dynamic,0,3,86,0,2
dynamic,0,3,87,1,0
dynamic,0,3,88,0,0
dynamic,0,3,89,1,0
dynamic,0,3,90,0,0
dynamic,0,3,91,2,2
dynamic,0,3,92,0,2
dynamic,0,3,93,0,5
dynamic,0,3,94,2,0
dynamic,0,3,95,2,0
dynamic,0,3,96,0,5
dynamic,0,3,97,0,1
dynamic,0,3,98,0,2
dynamic,0,3,99,0,0
static,0,4,0,0,2
static,0,4,1,0,0
static,0,4,2,1,0
static,0,4,3,1,1
static,0,4,4,0,0
static,0,4,5,2,0
static,0,4,6,0,1
static,0,4,7,0,6
static,0,4,8,0,0
static,0,4,9,1,2
static,0,4,10,1,6
static,0,4,11,2,0
static,0,4,12,2,0
static,0,4,13,1,0
static,0,4,14,1,0
static,0,4,15,0,3
static,0,4,16,1,0
static,0,4,17,0,2
static,0,4,18,0,0
static,0,4,19,0,0
static,1,4,20,2,0
static,1,4,21,0,3
static,1,4,22,0,0
static,1,4,23,1,0
static,1,4,24,0,1
static,1,4,25,2,0
static,1,4,26,0,0
static,1,4,27,2,0
static,1,4,28,1,0
static,1,4,29,2,0
static,1,4,30,2,0
static,1,4,31,1,0
static,1,4,32,0,2
static,1,4,33,1,0
static,1,4,34,0,8
static,1,4,35,0,0
static,1,4,36,0,4
static,1,4,37,0,0
static,1,4,38,1,0
static,1,4,39,2,0
static,2,4,40,0,0
static,2,4,41,0,1
static,2,4,42,0,0
static,2,4,43,1,0
static,2,4,44,2,0
static,2,4,45,0,0
static,2,4,46,0,0
static,2,4,47,0,0
static,2,4,48,0,0
static,2,4,49,0,0
static,2,4,50,2,0
static,2,4,51,1,0
static,2,4,52,1,0
static,2,4,53,0,0
static,2,4,54,1,0
static,2,4,55,1,0
static,2,4,56,2,0
static,2,4,57,2,0
static,2,4,58,1,0
static,2,4,59,1,0
static,3,4,60,2,0
static,3,4,61,1,0
static,3,4,62,1,0
static,3,4,63,0,0
static,3,4,64,0,0
static,3,4,65,1,0
static,3,4,66,0,0
static,3,4,67,1,0
static,3,4,68,1,0
static,3,4,69,2,0
static,3,4,70,0,0
static,3,4,71,1,0
static,3,4,72,0,0
static,3,4,73,1,0
static,3,4,74,1,0
static,3,4,75,0,0
static,3,4,76,1,0
static,3,4,77,1,0
static,3,4,78,2,0
static,3,4,79,1,0
static,0,4,80,1,2
static,0,4,81,0,6
static,0,4,82,1,9
static,0,4,83,0,3
static,0,4,84,1,1
static,0,4,85,2,0
static,0,4,86,0,1
static,0,4,87,1,0
static,0,4,88,0,4
static,0,4,89,1,0
static,0,4,90,0,0
static,0,4,91,2,0
static,0,4,92,0,2
static,0,4,93,0,0
static,0,4,94,2,0
static,0,4,95,2,0
static,0,4,96,0,1
static,0,4,97,0,0
static,0,4,98,0,2
static,0,4,99,0,1
dynamic,0,4,0,0,2
dynamic,0,4,1,0,0
dynamic,0,4,2,1,0
dynamic,0,4,3,1,2
dynamic,0,4,4,0,0
dynamic,0,4,5,2,0
dynamic,0,4,6,0,8
dynamic,0,4,7,0,3
dynamic,0,4,8,0,1
dynamic,0,4,9,1,0
dynamic,0,4,10,1,3
dynamic,0,4,11,2,0
dynamic,0,4,12,2,0
dynamic,0,4,13,1,0
dynamic,0,4,14,1,0
dynamic,0,4,15,0,0
dynamic,0,4,16,1,0
dynamic,0,4,17,0,0
dynamic,0,4,18,0,0
dynamic,0,4,19,0,0
dynamic,1,4,20,2,0
dynamic,1,4,21,0,0
dynamic,1,4,22,0,1
dynamic,1,4,23,1,0
dynamic,1,4,24,0,1
dynamic,1,4,25,2,0
dynamic,1,4,26,0,0
dynamic,1,4,27,2,0
dynamic,1,4,28,1,0
dynamic,1,4,29,2,0
dynamic,1,4,30,2,0
dynamic,1,4,31,1,0
dynamic,1,4,32,0,0
dynamic,1,4,33,1,0
dynamic,1,4,34,0,1
dynamic,1,4,35,0,1
dynamic,1,4,36,0,0
dynamic,1,4,37,0,0
dynamic,1,4,38,1,0
dynamic,1,4,39,2,0
dynamic,2,4,40,0,0
dynamic,2,4,41,0,0
dynamic,2,4,42,0,0
dynamic,2,4,43,1,0
dynamic,2,4,44,2,0
dynamic,2,4,45,0,0
dynamic,2,4,46,0,0
dynamic,2,4,47,0,0
dynamic,2,4,48,0,0
dynamic,2,4,49,0,0
dynamic,2,4,50,2,0
dynamic,2,4,51,1,0
dynamic,2,4,52,1,0
dynamic,2,4,53,0,1
dynamic,2,4,54,1,0
dynamic,2,4,55,1,0
dynamic,2,4,56,2,0
dynamic,2,4,57,2,0
dynamic,2,4,58,1,0
dynamic,2,4,59,1,0
dynamic,3,4,60,2,0
dynamic,3,4,61,1,0
dynamic,3,4,62,1,0
dynamic,3,4,63,0,4
dynamic,3,4,64,0,0
dynamic,3,4,65,1,0
dynamic,3,4,66,0,0
dynamic,3,4,67,1,0
dynamic,3,4,68,1,0
dynamic,3,4,69,2,0
dynamic,3,4,70,0,0
dynamic,3,4,71,1,0
dynamic,3,4,72,0,0
dynamic,3,4,73,1,0
dynamic,3,4,74,1,0
dynamic,3,4,75,0,0
dynamic,3,4,76,1,0
dynamic,3,4,77,1,0
dynamic,3,4,78,2,0
dynamic,3,4,79,1,0
dynamic,0,4,80,1,3
dynamic,0,4,81,0,2
dynamic,0,4,82,1,0
dynamic,0,4,83,0,8
dynamic,0,4,84,1,5
dynamic,0,4,85,2,0
dynamic,0,4,86,0,1
dynamic,0,4,87,1,0
dynamic,0,4,88,0,1
dynamic,0,4,89,1,0
dynamic,0,4,90,0,2
dynamic,0,4,91,2,7
dynamic,0,4,92,0,1
dynamic,0,4,93,0,2
dynamic,0,4,94,2,0
dynamic,0,4,95,2,1
dynamic,0,4,96,0,5
dynamic,0,4,97,0,4
dynamic,0,4,98,0,1
dynamic,0,4,99,0,1
static,0,5,0,0,0
static,0,5,1,0,0
static,0,5,2,1,2
static,0,5,3,1,2
static,0,5,4,0,0
static,0,5,5,2,7
static,0,5,6,0,4
static,0,5,7,0,4
static,0,5,8,0,0
static,0,5,9,1,3
static,0,5,10,1,3
static,0,5,11,2,0
static,0,5,12,2,0
static,0,5,13,1,0
static,0,5,14,1,0
static,0,5,15,0,4
static,0,5,16,1,0
static,0,5,17,0,0
static,0,5,18,0,1
static,0,5,19,0,1
static,1,5,20,2,0
static,1,5,21,0,8
static,1,5,22,0,0
static,1,5,23,1,0
static,1,5,24,0,2
static,1,5,25,2,0
static,1,5,26,0,0
static,1,5,27,2,0
static,1,5,28,1,0
static,1,5,29,2,0
static,1,5,30,2,0
static,1,5,31,1,0
